id,geometry,timestamp,dB,frequency,Spotter
1516763697,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 05:50:00",2,14057.7,W6YX
1516679502,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 03:24:00",1,14057.7,W6YX
1516598341,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 20:35:00",2,14057.7,W6YX
1516596039,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 20:08:00",3,14057.7,W6YX
1516595167,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 19:58:00",3,14058.3,W6YX
1516584425,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 18:07:00",2,14057.7,W6YX
1516584282,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/17 18:05:00",8,14058.3,VE6JY
1516584280,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 18:05:00",2,14058.3,W6YX
1516584194,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 18:04:00",1,14057.7,W6YX
1516580768,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-94.9583,39.1458]]}","2023/01/17 17:36:00",3,14058.3,K3PA-1
1516580762,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/17 17:36:00",9,14058.3,VE6JY
1516580482,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.0417,47.5208]]}","2023/01/17 17:34:00",4,14057.6,WF7U
1516580004,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.0417,47.5208]]}","2023/01/17 17:30:00",3,14058.3,WF7U
1516579417,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 17:25:00",1,14057.7,W6YX
1516579415,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/17 17:25:00",9,14057.7,VE6JY
1516578621,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-80.9583,35.5625]]}","2023/01/17 17:19:00",3,14058.3,W3OA
1516578351,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 17:17:00",2,14057.7,W6YX
1516577840,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 17:12:00",1,14058.3,W6YX
1516577332,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/17 17:09:00",13,14057.7,VE6JY
1516576943,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-81.3750,41.5208]]}","2023/01/17 17:05:00",2,14057.6,W8WWV
1516576803,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-114.4583,51.8125]]}","2023/01/17 17:04:00",3,14058.4,VE6WZ
1516576548,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-114.4583,51.8125]]}","2023/01/17 17:03:00",4,14057.7,VE6WZ
1516575339,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/17 16:54:00",7,14057.7,WA7AI
1516570403,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 16:17:00",1,14058.3,W6YX
1516570330,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 16:16:00",7,14058.3,N6WIN-7
1516568198,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/17 16:02:00",14,14058.3,WA7AI
1516568071,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 16:01:00",8,14058.3,N6WIN-7
1516567642,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 15:59:00",6,14057.7,N6WIN-7
1516567552,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 15:58:00",1,14057.7,W6YX
1516567544,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/17 15:58:00",4,14057.7,NC7J
1516567537,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/17 15:58:00",7,14057.7,WA7AI
1516560021,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/17 15:13:00",4,14057.7,NC7J
1516559494,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 15:10:00",6,14058.3,N6WIN-7
1516559207,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 15:08:00",2,14058.3,W6YX
1516559064,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/17 15:08:00",4,14057.7,WA7AI
1516558599,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/17 15:06:00",7,14057.7,VE6JY
1516558532,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/17 15:05:00",4,14058.3,WA7AI
1516558525,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 15:05:00",6,14058.3,N6WIN-7
1516558519,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 15:05:00",2,14058.3,W6YX
1516558268,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/17 15:04:00",2,14058.3,NC7J
1516557929,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/17 15:03:00",4,14057.7,NC7J
1516556925,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/17 14:58:00",3,14057.7,WA7AI
1516556735,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 14:57:00",3,14057.7,W6YX
1516556688,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 14:57:00",9,14057.7,N6WIN-7
1516520072,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.5417,49.1875]]}","2023/01/17 12:29:00",3,14057.7,VE7CC
1516519061,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 12:26:00",7,14057.7,N6WIN-7
1516510904,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 11:54:00",6,14058.3,N6WIN-7
1516510208,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/17 11:52:00",3,14058.3,WA7AI
1516509738,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 11:50:00",8,14057.6,N6WIN-7
1516508992,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/17 11:48:00",5,14057.7,VE6JY
1516508951,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 11:47:00",2,14057.7,W6YX
1516508492,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 11:46:00",2,14058.3,W6YX
1516508436,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/17 11:46:00",2,14058.3,NC7J
1516508416,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 11:45:00",5,14058.3,N6WIN-7
1516507659,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 11:42:00",6,14057.7,N6WIN-7
1516507623,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/17 11:42:00",7,14057.7,WA7AI
1516506926,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-113.2917,37.1875]]}","2023/01/17 11:39:00",3,14057.7,WA7LNW
1516494492,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 10:52:00",6,14057.7,N6WIN-7
1516486072,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 10:20:00",5,14058.3,W6YX
1516460001,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 09:13:00",12,14058.3,N6WIN-7
1516459345,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/17 09:11:00",10,14057.7,WA7AI
1516458604,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/17 09:10:00",10,14057.7,WA7AI
1516454361,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 09:01:00",9,14057.7,N6WIN-7
1516448187,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 08:49:00",2,14057.7,W6YX
1516446356,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.5417,49.1875]]}","2023/01/17 08:44:00",4,14058.4,VE7CC
1516446347,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 08:44:00",9,14058.3,N6WIN-7
1516446273,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 08:44:00",2,14058.4,W6YX
1516445955,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.5417,49.1875]]}","2023/01/17 08:44:00",4,14057.7,VE7CC
1516423244,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/17 08:03:00",7,14058.4,NC7J
1516423214,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 08:02:00",4,14058.3,N6WIN-7
1516423006,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/17 08:02:00",9,14057.8,NC7J
1516422902,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/17 08:02:00",7,14057.7,N6WIN-7
1516364560,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 05:52:00",6,14057.7,W6YX
1516347974,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 05:04:00",7,14057.7,W6YX
1516342315,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 04:45:00",8,14058.4,W6YX
1516323033,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 03:26:00",8,14058.4,W6YX
1516232975,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/16 18:45:00",18,14058.4,VE6JY
1516232194,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-94.9583,39.1458]]}","2023/01/16 18:39:00",7,14058.3,K3PA-1
1516221895,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/16 17:25:00",2,14057.7,W6YX
1516221892,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/16 17:24:00",5,14057.7,VE6JY
1516177921,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/16 13:48:00",2,14058.3,WA7AI
1516149239,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/16 12:12:00",7,14058.3,N6WIN-7
1516149092,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/16 12:11:00",4,14057.7,N6WIN-7
1516149081,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/16 12:11:00",3,14057.7,WA7AI
1516041063,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/16 08:28:00",3,14058.3,NC7J
1516039857,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.5417,49.1875]]}","2023/01/16 08:26:00",5,14057.7,VE7CC
1515844838,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/15 17:51:00",3,14058.3,VE6JY
1515844099,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/15 17:43:00",7,14058.3,N6WIN-7
